id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,16,34,0,0,0,17,8,0
33,122,15,5,16,1,2,7,0
34,115,89,9,7,1,2,10,0
35,0,34,16,16,0,2,16,0
36,0,84,12,19,1,1,14,0
37,0,0,17,18,0,1,16,0
38,17,15,14,16,0,3,14,0
39,123,31,5,7,1,2,6,0
40,81,105,7,18,1,2,8,0
41,41,108,8,18,0,2,7,0
42,96,89,10,10,1,1,11,0
43,95,63,11,12,0,6,12,0
44,111,104,6,7,1,13,7,0
45,117,99,9,5,0,9,9,0
46,81,123,6,5,1,13,7,0
47,17,66,11,18,0,1,10,0
48,94,47,11,15,0,3,11,0
49,81,89,8,16,2,3,11,0
50,87,0,12,14,0,4,12,0
51,29,31,12,16,-1,3,11,0
52,63,0,12,15,0,4,11,0
53,61,109,10,15,1,3,11,0
54,101,31,11,16,0,3,11,0
55,17,49,12,17,0,3,11,0
56,112,31,11,16,0,3,11,0
57,50,98,11,16,0,3,11,0
58,96,112,6,12,1,6,8,0
59,96,99,6,13,1,6,7,0
60,119,76,9,10,1,6,10,0
61,17,120,9,8,1,8,11,0
62,106,89,9,10,1,6,10,0
63,61,93,10,16,0,3,10,0
64,0,50,16,16,0,3,16,0
65,31,15,13,16,0,3,13,0
66,44,15,13,16,-1,3,11,0
67,61,47,11,16,0,3,11,0
68,57,15,13,16,-1,3,12,0
69,105,47,11,15,0,3,11,0
70,50,47,11,17,0,2,10,0
71,29,47,12,16,0,3,12,0
72,29,63,12,16,0,3,12,0
73,72,76,9,16,0,3,9,0
74,17,31,12,18,-1,3,11,0
75,70,15,13,16,0,3,13,0
76,116,47,11,15,0,3,11,0
77,17,0,15,15,0,4,15,0
78,29,79,12,16,1,3,13,0
79,29,95,12,16,0,3,11,0
80,29,111,12,16,0,3,11,0
81,0,103,12,19,0,3,11,0
82,83,15,13,16,0,3,12,0
83,75,0,12,15,0,3,12,0
84,96,15,13,16,-1,3,11,0
85,61,63,11,15,0,4,11,0
86,41,31,12,16,0,3,11,0
87,0,18,17,16,0,3,16,0
88,109,15,13,16,0,3,13,0
89,53,31,12,16,0,3,12,0
90,32,0,15,15,-1,3,12,0
91,89,89,7,18,1,2,8,0
92,17,84,11,18,0,2,10,0
93,72,92,8,18,0,2,9,0
94,102,104,9,7,0,1,9,0
95,102,99,15,5,1,15,16,0
96,117,104,7,6,0,3,6,0
97,72,63,12,13,0,6,11,0
98,65,31,12,16,0,2,12,0
99,81,76,10,13,0,6,10,0
100,77,31,12,16,0,2,11,0
101,106,63,11,12,0,6,10,0
102,50,64,11,17,-1,2,8,0
103,72,47,11,16,0,6,11,0
104,17,102,11,18,1,1,12,0
105,12,103,5,17,1,2,6,0
106,41,89,9,19,0,3,9,0
107,50,81,11,17,1,2,11,0
108,89,107,6,17,1,2,7,0
109,99,0,14,12,1,6,15,0
110,109,76,10,11,1,7,11,0
111,50,114,11,13,0,6,10,0
112,83,47,11,16,0,6,10,0
113,0,66,13,18,0,6,12,0
114,91,76,9,13,0,6,9,0
115,100,76,9,13,0,6,9,0
116,72,110,9,16,0,3,9,0
117,117,63,11,12,0,6,11,0
118,113,0,12,14,-1,6,10,0
119,47,0,16,12,0,7,15,0
120,84,63,11,13,0,6,11,0
121,89,31,12,16,0,6,11,0
122,61,78,11,15,0,5,11,0
123,41,47,9,21,0,0,9,0
124,12,84,5,19,0,1,4,0
125,41,68,9,21,1,0,9,0
126,0,122,13,6,0,3,12,0
