id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,0,0,0,0,0,14,10,0,0
124,0,0,5,20,4,0,10,0,0
106,5,0,9,18,1,1,10,0,0
36,14,0,11,17,1,1,10,0,0
125,25,0,9,17,2,2,10,0,0
123,34,0,9,17,2,2,10,0,0
35,43,0,11,16,1,1,10,0,0
92,54,0,11,16,1,1,10,0,0
47,65,0,11,16,1,1,10,0,0
93,76,0,7,16,2,3,10,0,0
91,83,0,7,16,3,3,10,0,0
41,90,0,8,16,2,3,10,0,0
40,98,0,8,16,3,3,10,0,0
64,106,0,11,15,1,1,10,0,0
81,0,20,13,15,0,3,10,0,0
37,13,20,10,14,1,2,10,0,0
63,23,20,9,14,2,2,10,0,0
33,32,20,7,14,3,2,10,0,0
48,39,20,11,14,1,2,10,0,0
57,50,20,11,14,1,2,10,0,0
56,61,20,11,14,1,2,10,0,0
55,72,20,10,14,1,2,10,0,0
54,82,20,11,14,1,2,10,0,0
53,93,20,11,14,1,2,10,0,0
51,104,20,10,14,1,2,10,0,0
121,114,20,13,14,0,5,10,0,0
113,0,35,13,14,0,5,10,0,0
112,13,35,13,14,0,5,10,0,0
105,26,35,11,14,1,1,10,0,0
103,37,35,13,14,0,5,10,0,0
100,50,35,13,14,0,2,10,0,0
98,63,35,13,14,0,2,10,0,0
38,76,35,11,13,1,3,10,0,0
52,87,35,11,13,1,2,10,0,0
50,98,35,11,13,1,2,10,0,0
49,109,35,11,13,1,2,10,0,0
116,0,49,12,13,0,3,10,0,0
108,12,49,11,13,1,2,10,0,0
107,23,49,13,13,0,2,10,0,0
104,36,49,13,13,0,2,10,0,0
102,49,49,11,13,1,2,10,0,0
85,60,49,13,13,0,3,10,0,0
83,73,49,11,13,1,3,10,0,0
79,84,49,13,13,0,3,10,0,0
78,97,49,13,13,0,3,10,0,0
74,110,49,13,13,0,3,10,0,0
71,0,62,13,13,0,3,10,0,0
67,13,62,13,13,0,3,10,0,0
43,26,62,13,12,0,3,10,0,0
59,39,62,7,12,3,6,10,0,0
90,46,62,11,12,1,3,10,0,0
89,57,62,12,12,0,3,10,0,0
88,69,62,13,12,0,3,10,0,0
87,82,62,15,12,-1,3,10,0,0
86,97,62,13,12,0,3,10,0,0
84,110,62,13,12,0,3,10,0,0
82,0,75,13,12,0,3,10,0,0
80,13,75,13,12,0,3,10,0,0
77,26,75,15,12,-1,3,10,0,0
76,41,75,13,12,0,3,10,0,0
75,54,75,13,12,0,3,10,0,0
73,67,75,11,12,1,3,10,0,0
72,78,75,13,12,0,3,10,0,0
70,91,75,12,12,0,3,10,0,0
69,103,75,12,12,0,3,10,0,0
68,0,87,13,12,0,3,10,0,0
66,13,87,13,12,0,3,10,0,0
65,26,87,14,12,-1,3,10,0,0
62,40,87,13,11,0,3,10,0,0
60,53,87,13,11,0,3,10,0,0
119,66,87,17,11,-1,5,10,0,0
118,83,87,13,11,0,5,10,0,0
117,96,87,13,11,0,5,10,0,0
115,109,87,11,11,1,5,10,0,0
111,0,99,13,11,0,5,10,0,0
101,13,99,12,11,0,5,10,0,0
99,25,99,12,11,0,5,10,0,0
97,37,99,13,11,0,5,10,0,0
58,50,99,7,10,3,6,10,0,0
122,57,99,10,10,1,5,10,0,0
120,67,99,12,10,0,5,10,0,0
114,79,99,12,10,1,5,10,0,0
110,91,99,13,10,0,5,10,0,0
109,104,99,17,10,-1,5,10,0,0
42,0,110,10,9,1,3,10,0,0
44,10,110,7,8,3,10,10,0,0
94,17,110,10,7,1,1,10,0,0
61,27,110,13,6,0,6,10,0,0
46,40,110,7,6,3,10,10,0,0
39,47,110,5,6,4,1,10,0,0
96,52,110,8,6,2,1,10,0,0
34,60,110,9,6,2,1,10,0,0
126,69,110,12,4,0,7,10,0,0
95,81,110,15,4,-1,16,10,0,0
45,96,110,11,4,1,8,10,0,0
